State_code,State,Municipality,Municipal_code,Year,Treatment,MajorHighway,MajorPort,Airports,Railline,Oilline,Intlborder,Shoreline,Poppies,MajCity,Mayor,MayorParty,Attack,Attack_count,Incumbent,Population,Homicidio,id_code
7,Chiapas,Marqués de Comillas,116,2015,1,1,0,0,0,0,1,0,0,0,Jorge Antonio Ortiz,PVEM,0,0,0,5934,0,7-116
14,Jalisco,Villa Hidalgo,116,2015,1,1,0,0,0,0,0,0,0,0,Rodolfo Rivas Valdes,PNA,0,0,0,5934,0,14-116
15,Mexico,Zacazonapan,116,2015,1,1,0,0,0,0,0,0,0,0,Odilon Saul Mejia Arroyo,CPEM,0,0,0,5934,1,15-116
20,Oaxaca,San Bartolomé Ayautla,116,2015,1,1,0,0,0,0,0,0,0,0,Sergio Hernandez Jalisco,PRI,0,0,0,5934,2,20-116
21,Puebla,Quimixtlán,116,2015,1,0,0,0,0,0,0,0,0,0,Tomas Nava Suarez,CPP,0,0,0,5934,1,21-116
30,Veracruz,Oluta,116,2015,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,5934,0,30-116
7,Chiapas,Marqués de Comillas,116,2016,1,1,0,0,0,0,1,0,0,0,Jorge Antonio Ortiz,PVEM,0,0,0,5934,0,7-116
14,Jalisco,Villa Hidalgo,116,2016,1,1,0,0,0,0,0,0,0,0,Rodolfo Rivas Valdes,PNA,0,0,0,171615,19,14-116
15,Mexico,Zacazonapan,116,2016,1,1,0,0,0,0,0,0,0,0,Odilon Saul Mejia Arroyo,CPEM,0,0,0,171615,34,15-116
20,Oaxaca,San Bartolomé Ayautla,116,2016,1,1,0,0,0,0,0,0,0,0,Sergio Hernandez Jalisco,PRI,0,0,0,171615,40,20-116
21,Puebla,Quimixtlán,116,2016,1,0,0,0,0,0,0,0,0,0,Tomas Nava Suarez,CPP,0,0,0,171615,67,21-116
30,Veracruz,Oluta,116,2016,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,171615,98,30-116
7,Chiapas,Marqués de Comillas,116,2017,1,1,0,0,0,0,1,0,0,0,Guillermina Pérez González,PVEM-PANAL,0,0,0,171615,108,7-116
14,Jalisco,Villa Hidalgo,116,2017,1,1,0,0,0,0,0,0,0,0,Efraín López Soto,PRI,0,0,0,171615,86,14-116
15,Mexico,Zacazonapan,116,2017,1,1,0,0,0,0,0,0,0,0,Víctor Manuel Estrada Garibay,PRI/PVEM/ALIANZA,0,0,0,5823,2,15-116
20,Oaxaca,San Bartolomé Ayautla,116,2017,1,1,0,0,0,0,0,0,0,0,Francisco Morelos Zamora,PSD,0,0,0,5823,2,20-116
21,Puebla,Quimixtlán,116,2017,1,0,0,0,0,0,0,0,0,0,Juan Flores Hernández,PRI/PVEM,0,0,0,5823,1,21-116
30,Veracruz,Oluta,116,2017,0,1,0,0,0,0,0,0,0,0,Jesus Manuel Garduza Salcedo,PAN,0,0,0,5823,1,30-116
7,Chiapas,Marqués de Comillas,116,2018,1,1,0,0,0,0,1,0,0,0,Guillermina Pérez González,PVEM-PANAL,0,0,0,5823,0,7-116
14,Jalisco,Villa Hidalgo,116,2018,1,1,0,0,0,0,0,0,0,0,Efraín López Soto,PRI,0,0,0,5823,0,14-116
